TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MULT3;24,80;2,01;25,75;2,30;1,39;79,14;53,45;40,14;19,34;22,13;2,80;0,33;10,34;29,08;-1,63;1,48;8,92;5,38;7,68;0,60;0,40;0,13;3,03;13,14;133.586.956,29;10,79;0,96;-0,84;14.886.854.482,50
MWET3;16,99;;0,27;-0,71;0,15;16,20;7,43;50,42;1,82;4,50;3,13;;0,14;-2,64;-0,25;0,88;-266,14;54,32;170,36;-0,20;1,21;1,08;14,95;;2.674,50;-23,84;63,46;0,00;26.459.058,57
MWET4;10,79;;0,17;-0,45;0,09;16,20;7,43;50,42;1,15;4,50;3,13;;0,09;-1,68;-0,16;0,88;-266,14;54,32;170,36;-0,20;1,21;1,08;14,95;;39.522,75;-23,84;63,46;0,00;26.459.058,57
MYPK3;15,84;8,89;3,76;0,68;0,18;12,85;9,97;4,35;1,64;4,55;2,91;1,20;0,16;1,38;-0,37;1,34;17,95;4,77;11,76;0,27;0,71;1,09;14,96;97,43;22.686.455,04;23,40;4,20;-0,02;2.428.769.695,80
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;49,30;42,94;14,12;0,00;2,78;2,78;7,16;0,00;0,00;0,00;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEMO5;52,97;4,71;1,55;1,32;0,08;49,30;42,94;14,12;0,51;2,78;2,78;7,16;0,22;0,38;-0,11;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEMO6;0,00;;0,00;0,00;0,00;49,30;42,94;14,12;0,00;2,78;2,78;7,16;0,00;0,00;0,00;4,11;84,81;5,22;10,02;0,06;0,77;0,37;32,90;61,23;;40,28;34,16;0,00;0,00
NEOE3;17,99;4,45;5,29;0,88;0,25;26,36;19,37;9,24;2,52;6,43;3,92;1,36;0,49;5,71;-0,34;1,20;16,58;4,71;10,96;0,28;0,71;0,51;23,82;68,63;31.151.547,17;20,52;3,40;0,19;21.799.798.574,08
NGRD3;2,26;0,66;44,16;1,18;0,73;65,29;6,06;4,84;35,29;21,19;-13,79;-0,46;2,14;2,33;-1,40;2,88;2,67;1,65;1,55;0,62;0,38;0,34;;;2.644.709,67;1,92;0,05;-1,95;534.603.619,20
NINJ3;3,86;;-4,94;0,68;0,63;91,86;-91,35;-62,19;-3,36;1,67;5,05;-1,02;3,07;0,70;-25,98;14,53;-13,72;-12,80;-20,16;0,93;0,07;0,21;;;1.058.611,38;5,68;-0,78;-0,01;193.867.006,18
NORD3;8,75;;-7,35;-0,39;3,30;90,27;-33,10;-416,71;-92,55;-153,14;-60,59;;30,64;-1,26;-3,58;0,03;-5,32;-44,83;0,57;-8,43;9,43;0,11;;;1.977,00;-22,37;-1,19;-0,01;57.938.002,50
NRTQ3;0,00;;0,00;0,00;0,00;27,73;14,45;13,65;0,00;0,37;0,37;0,07;0,00;0,00;0,00;3,55;18,29;12,35;14,36;0,68;0,32;0,90;13,67;17,48;;16,00;2,93;0,00;0,00
NTCO3;17,24;0,77;42,34;1,00;0,45;65,01;2,19;1,44;27,83;36,38;8,60;0,31;0,61;51,16;-0,63;1,03;2,35;1,07;-0,57;0,46;0,54;0,75;38,39;13,55;183.103.439,42;17,25;0,41;0,01;23.669.436.584,88
NUTR3;250,00;;4,00;1,30;0,38;17,57;10,37;5,82;2,24;2,65;0,41;0,24;0,23;0,98;-1,14;2,38;32,40;9,47;34,63;0,29;0,71;1,63;33,43;;25.000,00;192,96;62,52;0,02;31.986.000,00
ODER4;857,15;0,15;79,77;24,62;12,05;30,80;21,34;17,71;66,19;67,20;1,01;0,38;14,12;34,80;-41,78;1,95;30,86;15,11;17,73;0,49;0,51;0,85;11,24;22,33;;34,82;10,75;-19,03;9.674.742.907,90
ODPV3;10,40;2,66;13,65;4,87;2,94;61,98;30,51;23,49;10,51;9,92;-0,60;-0,28;3,21;-222,64;-4,16;0,96;35,65;21,52;30,59;0,60;0,39;0,92;6,18;14,93;15.825.296,58;2,14;0,76;1,40;5.917.729.009,23
OFSA3;22,74;2,37;10,18;1,88;1,02;49,19;15,59;12,84;8,39;10,09;1,70;0,38;1,31;2,57;-2,44;3,13;18,44;10,01;13,16;0,54;0,46;0,78;14,66;;311.453,71;12,11;2,23;0,54;1.226.800.396,44
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,66;;-0,50;-5,94;0,06;5,33;-19,43;-81,23;-2,11;-16,85;-14,67;;0,41;0,21;-0,14;1,76;-1.177,93;-10,93;-12,63;-0,01;1,01;0,13;-16,61;;51.118.470,08;-0,11;-1,29;0,03;4.449.486.522,72
OIBR4;1,24;;-0,98;-11,51;0,11;5,33;-19,43;-81,23;-4,08;-16,85;-14,67;;0,79;0,42;-0,26;1,76;-1.177,93;-10,93;-12,63;-0,01;1,01;0,13;-16,61;;1.231.155,92;-0,11;-1,29;0,05;4.449.486.522,72
OMGE3;27,57;;17,56;1,34;0,45;30,64;61,55;16,27;4,64;8,72;4,08;1,18;2,86;9,80;-0,54;1,38;7,66;2,55;10,08;0,33;0,67;0,16;55,45;100,39;49.236.324,19;20,50;1,57;0,01;5.521.562.588,85
ONCO3;5,84;;-43,06;1,59;0,46;32,65;6,71;-2,33;14,93;19,85;4,94;0,53;1,00;2,29;-0,78;1,99;-3,69;-1,07;2,07;0,29;0,63;0,46;;;10.202.605,96;3,69;-0,14;0,84;2.897.842.679,55
OPCT3;2,64;;-14,45;0,68;0,23;16,79;2,66;-3,60;19,57;50,19;30,55;1,06;0,52;2,08;-0,33;1,63;-4,70;-1,62;0,30;0,34;0,66;0,45;;;2.564.407,67;3,87;-0,18;-0,28;527.893.222,56
ORVR3;33,25;;-66,79;7,09;1,95;41,31;25,83;-7,96;20,59;25,42;4,82;1,66;5,32;8,54;-3,23;2,36;-10,61;-2,92;8,45;0,28;0,71;0,37;;;15.749.068,79;4,69;-0,50;3,54;2.378.804.001,90
