TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;19,87;;-72,79;2,03;0,93;31,73;5,79;-2,87;36,05;46,48;10,43;0,59;2,09;-29,63;-1,13;0,85;-2,79;-1,27;2,70;0,46;0,53;0,44;3,62;;8.747.129,61;9,80;-0,27;1,43;2.350.478.253,92
ABCB4;15,22;6,68;5,52;0,71;0,08;37,27;26,57;19,79;4,11;4,11;;;1,09;-2,15;-0,08;0,18;12,94;1,40;;0,11;0,89;0,07;7,15;9,74;12.262.089,39;21,31;2,76;0,08;3.441.091.595,96
ABEV3;13,06;4,62;15,28;2,61;1,61;50,27;22,97;18,03;12,00;11,34;-0,66;-0,14;2,76;158,15;-2,21;1,04;17,05;10,56;20,02;0,62;0,37;0,59;9,82;1,41;292.567.572,79;5,01;0,85;3,62;205.697.832.074,06
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,99;0,69;48,34;2,30;0,74;11,08;8,41;2,02;11,61;15,32;3,71;0,73;0,98;1,86;-2,03;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;8.362.022,79;1,30;0,06;-0,80;2.290.978.233,44
AESB3;10,83;0,56;11,04;1,63;0,42;22,78;14,53;25,41;19,31;34,65;15,34;1,30;2,81;2,85;-0,54;2,91;14,79;3,81;-2,70;0,26;0,64;0,15;;;15.545.515,94;6,63;0,98;;5.329.513.340,85
AFLT3;9,01;4,74;5,55;2,22;2,03;87,03;84,24;81,52;5,37;5,18;-0,19;-0,08;4,52;9,68;-2,64;10,78;39,98;36,56;39,43;0,91;0,09;0,45;30,86;48,28;5.268,83;4,06;1,62;0,01;568.393.147,00
AGRO3;27,88;16,63;3,54;1,16;0,82;39,85;35,81;58,48;5,78;5,92;0,14;0,03;2,07;2,00;-1,68;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;20.936.233,91;24,12;7,88;0,01;2.854.270.983,04
AGXY3;8,62;1,95;16,62;1,05;0,16;11,21;3,14;1,04;5,50;9,34;3,84;0,73;0,17;4,07;-0,93;1,05;6,32;0,99;7,19;0,16;0,84;0,95;;;626.765,06;8,20;0,52;;1.472.511.405,18
AHEB3;27,50;;-6,89;-3,99;0,78;39,70;-3,15;-17,13;-37,41;-35,38;2,32;;1,18;26,04;-1,09;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.125,00;-6,89;-3,99;0,25;236.820.517,90
AHEB5;22,00;;-5,51;-3,19;0,63;39,70;-3,15;-17,13;-29,93;-35,38;2,32;;0,94;20,83;-0,87;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;2.348,50;-6,89;-3,99;0,20;236.820.517,90
AHEB6;41,20;;-10,32;-5,98;1,17;39,70;-3,15;-17,13;-56,04;-35,38;2,32;;1,77;39,02;-1,64;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.120,00;-6,89;-3,99;0,38;236.820.517,90
ALLD3;11,85;11,24;4,18;0,72;0,28;13,72;6,66;4,42;2,77;3,50;0,73;0,19;0,18;1,22;-0,92;1,48;17,24;6,66;19,90;0,39;0,61;1,51;;;1.139.919,88;16,45;2,84;0,14;1.104.663.896,70
ALPA3;16,31;2,43;18,86;2,06;1,25;48,45;13,31;14,87;21,06;19,94;-3,05;-0,30;2,80;7,49;-2,63;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;70.315,88;7,91;0,87;0,13;12.161.092.893,83
ALPA4;19,28;2,26;22,29;2,44;1,48;48,45;13,31;14,87;24,90;19,94;-3,05;-0,30;3,31;8,86;-3,11;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;111.412.998,21;7,91;0,87;0,16;12.161.092.893,83
ALPK3;2,22;;-2,35;0,93;0,19;26,64;0,11;-22,18;456,40;1.689,01;1.232,60;2,51;0,52;-0,91;-0,21;0,29;-39,61;-8,01;-0,09;0,20;0,80;0,36;;;1.071.925,18;2,39;-0,94;0,64;476.026.881,06
ALSO3;17,54;2,19;16,13;0,68;0,40;69,41;55,68;28,66;8,31;5,06;-3,24;-0,27;4,62;2,76;-0,50;3,64;4,23;2,48;6,45;0,58;0,32;0,09;22,33;24,57;42.128.074,64;25,69;1,09;0,09;4.661.654.526,12
ALUP11;26,41;4,66;6,33;1,09;0,29;78,20;77,23;24,89;2,04;4,14;2,10;1,13;1,58;3,91;-0,35;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;26.414.235,61;24,17;4,17;0,50;7.739.109.538,10
ALUP3;8,98;4,57;6,46;1,11;0,30;78,20;77,23;24,89;2,08;4,14;2,10;1,13;1,61;3,99;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;100.137,42;8,06;1,39;0,51;7.739.109.538,10
ALUP4;8,84;4,64;6,35;1,10;0,29;78,20;77,23;24,89;2,05;4,14;2,10;1,13;1,58;3,93;-0,35;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;117.993,97;8,06;1,39;0,51;7.739.109.538,10
AMAR3;2,01;;-4,63;0,63;0,21;44,23;-0,85;-5,52;-30,20;-86,79;-56,59;1,18;0,26;1,69;-0,41;1,32;-13,62;-4,46;-4,51;0,33;0,67;0,81;-2,41;;12.318.619,00;3,19;-0,43;;689.099.495,70
AMBP3;24,12;1,26;17,12;2,64;0,46;21,59;16,99;6,58;6,62;12,13;5,51;2,19;1,13;2,15;-0,74;2,26;15,40;2,68;7,10;0,17;0,80;0,41;;;32.703.431,18;9,15;1,41;0,12;2.724.006.382,56
AMER3;13,92;4,46;22,15;0,82;0,29;30,11;4,29;2,15;11,11;18,35;7,24;0,54;0,48;1,44;-0,54;1,76;3,72;1,30;1,98;0,35;0,65;0,61;21,42;;222.571.316,61;16,90;0,63;-0,07;12.627.067.248,00
ANIM3;4,95;;-8,70;0,70;0,18;55,89;11,91;-7,33;5,35;15,29;9,93;1,30;0,64;2,17;-0,23;1,70;-8,06;-2,12;3,79;0,26;0,70;0,29;22,51;;12.698.536,61;7,06;-0,57;0,01;1.999.150.584,75
APER3;27,89;0,25;67,72;1,07;0,60;100,00;7,36;2,85;26,22;19,43;-6,79;-0,28;1,93;8,95;-0,82;1,34;1,58;0,88;3,83;0,56;0,44;0,31;4,50;;1.960.222,61;26,02;0,41;0,02;320.180.937,26
APTI3;197,64;;-0,35;0,02;0,01;99,60;-89,65;-42,25;-0,17;-1,48;0,53;-0,05;0,15;0,02;-0,01;4,14;-4,58;-2,07;-13,12;0,45;0,55;0,05;-6,46;;;12.267,55;-561,66;0,00;44.442.750,00
APTI4;3.500,00;;-6,23;0,29;0,13;99,60;-89,65;-42,25;-2,94;-1,48;0,53;-0,05;2,63;0,44;-0,21;4,14;-4,58;-2,07;-13,12;0,45;0,55;0,05;-6,46;;;12.267,55;-561,66;0,05;44.442.750,00
ARML3;12,02;1,53;53,03;3,66;1,30;47,20;32,46;14,69;24,00;26,76;2,75;0,42;7,79;3,20;-2,65;4,78;6,90;2,44;4,62;0,35;0,65;0,17;;;6.894.409,00;3,28;0,23;0,21;4.156.029.442,42
ARZZ3;73,25;1,85;18,14;3,22;2,00;52,81;16,73;11,78;12,77;12,10;-0,68;-0,17;2,14;9,57;-4,20;1,66;17,75;11,01;18,91;0,62;0,38;0,94;18,73;30,72;82.408.746,88;22,75;4,04;0,01;8.042.573.041,75
ASAI3;15,48;1,11;13,17;6,99;0,64;17,00;5,97;3,61;7,96;10,48;2,52;2,22;0,48;23,30;-1,03;1,08;53,08;4,88;17,75;0,09;0,91;1,35;;;118.103.534,64;2,21;1,18;4,40;20.854.859.577,48
