TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
MYPK3,15.69,8.95,3.73,0.67,0.18,12.85,9.97,4.35,1.63,4.54,2.91,1.2,0.16,1.37,-0.37,1.34,17.95,4.77,11.76,0.27,0.71,1.09,14.96,97.43,23573981.56,23.4,4.2,-0.02,2411860539.69
NEOE3,16.48,4.86,4.84,0.8,0.23,26.36,19.37,9.24,2.31,6.22,3.92,1.36,0.45,5.23,-0.31,1.2,16.58,4.71,10.96,0.28,0.71,0.51,23.82,68.63,30602758.21,20.52,3.4,0.18,20003378647.04
NGRD3,2.01,0.74,39.28,1.05,0.65,65.29,6.06,4.84,31.39,17.6,-13.79,-0.46,1.9,2.07,-1.24,2.88,2.67,1.65,1.55,0.62,0.38,0.34,0.0,0.0,2828000.97,1.92,0.05,-1.74,479711283.3
NINJ3,2.85,0.0,-3.66,0.5,0.47,91.86,-91.35,-62.19,-2.49,2.56,5.05,-1.02,2.27,0.52,-19.23,14.53,-13.72,-12.8,-20.16,0.93,0.07,0.21,0.0,0.0,972100.0,5.68,-0.78,-0.01,143140147.05
NTCO3,14.45,0.91,35.63,0.84,0.38,65.01,2.19,1.44,23.42,32.02,8.6,0.31,0.51,43.06,-0.53,1.03,2.35,1.07,-0.57,0.46,0.54,0.75,38.39,13.55,195092064.38,17.25,0.41,0.01,19954688369.4
ODPV3,9.74,2.6,12.78,4.56,2.75,61.98,30.51,23.49,9.85,9.25,-0.6,-0.28,3.0,-208.51,-3.9,0.96,35.65,21.52,30.59,0.6,0.39,0.92,6.18,14.93,14703791.21,2.14,0.76,1.31,5536856921.22
OIBR3,0.49,0.0,-0.38,-4.48,0.04,5.33,-19.43,-81.23,-1.59,-16.29,-14.67,0.0,0.31,0.16,-0.1,1.76,-1177.93,-10.93,-12.63,-0.01,1.01,0.13,-16.61,0.0,48119994.12,-0.11,-1.29,0.02,3311197430.59
OIBR4,0.97,0.0,-0.75,-8.86,0.08,5.33,-19.43,-81.23,-3.14,-16.29,-14.67,0.0,0.61,0.32,-0.2,1.76,-1177.93,-10.93,-12.63,-0.01,1.01,0.13,-16.61,0.0,1081786.15,-0.11,-1.29,0.04,3311197430.59
ONCO3,4.26,0.0,-31.3,1.16,0.34,32.65,6.71,-2.33,10.86,15.8,4.94,0.53,0.73,1.67,-0.56,1.99,-3.69,-1.07,2.07,0.29,0.63,0.46,0.0,0.0,9778997.32,3.69,-0.14,0.61,2110223899.98
OPCT3,1.9,0.0,-10.44,0.49,0.17,16.79,2.66,-3.6,14.14,44.69,30.55,1.06,0.38,1.5,-0.24,1.63,-4.7,-1.62,0.3,0.34,0.66,0.45,0.0,0.0,2690835.71,3.87,-0.18,-0.2,379923152.6
ORVR3,28.75,0.0,-57.75,6.13,1.69,41.31,25.83,-7.96,17.8,22.62,4.82,1.66,4.6,7.38,-2.79,2.36,-10.61,-2.92,8.45,0.28,0.71,0.37,0.0,0.0,14106115.91,4.69,-0.5,3.06,2055624137.5
PARD3,18.79,2.2,10.83,2.67,1.04,31.37,18.81,11.09,6.38,6.6,0.22,0.09,1.2,33.01,-1.57,1.1,24.66,9.57,23.69,0.39,0.61,0.86,17.16,17.2,4163653.26,7.04,1.74,0.26,2461087800.05
PCAR3,17.89,1.98,2.31,0.34,0.11,25.18,3.15,4.27,3.13,6.2,3.07,0.33,0.1,3.54,-0.16,1.11,14.62,4.67,3.96,0.32,0.62,1.09,4.35,0.0,48662899.62,53.01,7.75,-0.17,4820555370.67
PDGR3,1.09,0.0,0.44,-0.01,0.05,20.38,-105.42,40.08,-0.17,-3.02,-2.85,0.0,0.18,-0.03,-0.24,0.32,-2.73,11.41,17.5,-4.18,5.23,0.28,11.86,0.0,867900.76,-90.93,2.48,0.0,61185468.13
PETR3,29.93,38.58,2.6,0.9,0.39,49.27,47.69,29.53,1.61,2.33,0.78,0.44,0.77,5.63,-0.49,1.53,34.56,15.03,24.67,0.43,0.56,0.51,9.88,0.0,598962070.06,33.29,11.5,0.02,375744441010.34
PETR4,27.31,42.28,2.37,0.82,0.36,49.27,47.69,29.53,1.47,2.33,0.78,0.44,0.7,5.14,-0.45,1.53,34.56,15.03,24.67,0.43,0.56,0.51,9.88,0.0,2643869552.94,33.29,11.5,0.01,375744441010.34
PETZ3,10.47,0.43,69.04,2.72,1.41,48.38,6.98,3.06,30.3,28.24,-2.06,-0.19,2.12,7.88,-2.22,1.95,3.94,2.04,6.96,0.52,0.48,0.66,0.0,0.0,145091939.59,3.85,0.15,1.78,4815573841.65
PGMN3,4.73,0.0,14.61,0.99,0.32,32.06,4.62,1.86,5.88,7.54,1.66,0.28,0.27,1.78,-0.67,1.54,6.81,2.22,10.72,0.33,0.67,1.19,6.32,28.07,6544944.47,4.76,0.32,1.5,2099084423.26
